,ALIMENTACION,AUTO,BELLEZA,HOGAR,MODA Y COMPLEMENTOS,OCIO Y TIEMPO LIBRE,OTROS,RESTAURACION,SALUD,TECNOLOGIA
00-02,147,6,3,13,216,88,112,5867,318,17
02-04,4,3,0,0,24,20,39,2029,82,1
04-06,6,1,0,0,5,15,13,1525,29,1
06-08,101,0,10,23,48,84,107,1065,108,3
08-10,10816,769,1027,2304,1703,930,4046,2262,5674,487
10-12,26418,2756,8238,14765,34426,12280,14085,3687,19249,5983
12-14,34602,3311,10420,16813,42424,14766,18966,6026,19907,6886
14-16,26250,214,4338,3099,17947,2641,13612,21735,5450,672
16-18,21590,2279,6175,6898,25560,7297,9941,15466,11263,2699
18-20,31517,3981,10385,15373,43969,16099,16762,5331,19934,7161
20-22,31776,928,5702,9144,33183,9790,15094,11208,12506,3601
22-24,2208,7,102,147,2246,360,1073,16148,1508,82
